"row ID","Recall","Precision","F-measure","Accuracy","AUC"
"j48_holdout",0.0051813471502590676,0.25,0.01015228426395939,0.9398333847577908,0.5001623420777066
"j48_smote",0.20207253886010362,0.1326530612244898,0.16016427104722794,0.8738043813637766,0.5537913249833408
"j48_smote_cost_sensitive",0.22279792746113988,0.11405835543766578,0.15087719298245614,0.8506633755013885,0.5566089374838508
"j48_smote_cross_validation",0.22013651877133106,0.1385606874328679,0.17007251153592617,0.8718053151410243,0.5778604175020464
"j48_smote_cross_validation_multivariate_filter",0.2150170648464164,0.13846153846153847,0.16844919786096257,0.8733326545158334,0.5579859231185706
"j48_smote_multivariate_filter",0.16062176165803108,0.10726643598615918,0.12863070539419086,0.8704103671706264,0.545200794201243
"j48_smote_univariate_filter",0.19170984455958548,0.10054347826086957,0.13190730837789663,0.8497377352668929,0.5959229189615547
"logistic_holdout",0.015544041450777202,0.2,0.028846153846153848,0.9376735575439679,0.6843305046713732
"logistic_smote",0.538860103626943,0.10612244897959183,0.1773231031543052,0.7022523912372725,0.6740970040662025
"logistic_smote_cost_sensitive",0.9430051813471503,0.07193675889328063,0.13367609254498714,0.27213822894168466,0.5863319869990344
"logistic_smote_cross_validation",0.6092150170648464,0.1186046511627907,0.19855394883203561,0.7065471947866816,0.7183393973439063
"logistic_smote_cross_validation_multivariate_filter",0.5870307167235495,0.11183355006501951,0.1878754778809394,0.6971795132878525,0.7101418036073627
"logistic_smote_multivariate_filter",0.5803108808290155,0.1103448275862069,0.18543046357615894,0.6963900030854675,0.6869602763385126
"logistic_smote_univariate_filter",0.5544041450777202,0.0924006908462867,0.15840118430792008,0.6491823511261956,0.6587501529925348
"multi_layer_holdout",0.0,,,0.9404504782474545,0.6062380155848395
"multi_layer_smote",0.07253886010362694,0.05166051660516605,0.06034482758620689,0.8654736192533169,0.6429817224919385
"multi_layer_smote_cost_sensitive",0.08808290155440414,0.056856187290969896,0.06910569105691056,0.8586855908670163,0.5967856268614091
"multi_layer_smote_cross_validation",0.040955631399317405,0.07079646017699115,0.05189189189189189,0.9107015578861624,0.6530489438643274
"multi_layer_smote_cross_validation_multivariate_filter",0.3703071672354949,0.11060142711518858,0.17032967032967034,0.7847469707769066,0.6482554497561633
"multi_layer_smote_multivariate_filter",0.27979274611398963,0.1148936170212766,0.16289592760180996,0.8287565566183277,0.6506381488583335
"multi_layer_smote_univariate_filter",0.5129533678756477,0.09158186864014801,0.15541601255886972,0.668003702560938,0.64800667727415
"naivebayes_holdout",0.35751295336787564,0.11442786069651742,0.1733668341708543,0.796976241900648,0.6617564562849301
"naivebayes_smote",0.6839378238341969,0.08621815806662313,0.1531322505800464,0.5495217525455106,0.657697904342272
"naivebayes_smote_cost_sensitive",0.7616580310880829,0.08428899082568807,0.15178110480123902,0.49305769824128354,0.6188539499272435
"naivebayes_smote_cross_validation",0.7320819112627986,0.08874637980968142,0.15830258302583025,0.5354851848080644,0.6775062780525809
"naivebayes_smote_cross_validation_multivariate_filter",0.6313993174061433,0.09610389610389611,0.16681695220919748,0.6236635780470421,0.6714083903239421
"naivebayes_smote_multivariate_filter",0.533678756476684,0.09519408502772643,0.16156862745098038,0.6701635297747609,0.6535518066718353
"naivebayes_smote_univariate_filter",0.49222797927461137,0.08911819887429644,0.15091342335186658,0.6701635297747609,0.6406528361415942
"nbtree_holdout",0.0,,,0.9404504782474545,0.6667227639291202
"nbtree_smote",0.16062176165803108,0.11877394636015326,0.13656387665198236,0.8790496760259179,0.5617163382426936
"nbtree_smote_cost_sensitive",0.23834196891191708,0.09829059829059829,0.13918305597579422,0.8244369021906819,0.5499452626711816
"nbtree_smote_cross_validation",0.052901023890784986,0.1409090909090909,0.07692307692307693,0.9242439670094695,0.604825461822603
"nbtree_smote_cross_validation_multivariate_filter",0.04778156996587031,0.13658536585365855,0.07079646017699116,0.925160370634355,0.6111269820444997
"nbtree_smote_multivariate_filter",0.0,,,0.9404504782474545,0.6567034528714978
"nbtree_smote_univariate_filter",0.11398963730569948,0.09777777777777778,0.10526315789473685,0.8846035174328911,0.6333950403220336
"random_forest_holdout",0.04145077720207254,0.0963855421686747,0.057971014492753624,0.9197778463437211,0.6080671263242353
"random_forest_smote",0.09326424870466321,0.10588235294117647,0.09917355371900825,0.8991052144399877,0.6154847143459399
"random_forest_smote_cost_sensitive",0.36787564766839376,0.10099573257467995,0.15848214285714285,0.7673557543967912,0.5802632831517821
"random_forest_smote_cross_validation",0.1296928327645051,0.15139442231075698,0.13970588235294115,0.9046940230119133,0.6328845226370223
"random_forest_smote_cross_validation_multivariate_filter",0.13993174061433447,0.1704781704781705,0.15370196813495784,0.9080541696364932,0.6421523880621836
"random_forest_smote_multivariate_filter",0.08808290155440414,0.11038961038961038,0.09798270893371756,0.9034248688676334,0.6400289665864306
"random_forest_smote_univariate_filter",0.22797927461139897,0.12290502793296089,0.15970961887477314,0.8571428571428571,0.6069018331905403
"smo_polykernel_holdout",0.0,,,0.9404504782474545,0.5
"smo_polykernel_smote",0.538860103626943,0.10526315789473684,0.17612193056731582,0.6997840172786177,0.6244169284538915
"smo_polykernel_smote_cost_sensitive",0.538860103626943,0.10526315789473684,0.17612193056731582,0.6997840172786177,0.6244169284538915
"smo_polykernel_smote_cross_validation",0.6313993174061433,0.1189710610932476,0.20021645021645024,0.6990123205376234,0.667350985178437
"smo_polykernel_smote_cross_validation_multivariate_filter",0.6126279863481229,0.11278667923342758,0.1905014592730167,0.6893391711638326,0.6534174041107155
